alpha3,english_name,icelandic_name
urd,Urdu,úrdú
uzb,Uzbek,úsbekska
uzn,Northern Uzbek,norðurúsbekska
uzs,Southern Uzbek,suðurúsbekska
vec,Venetian,venetíska
vel,Veluws,velúvíska
ven,Venda,venda
vie,Vietnamese,víetnamska
vls,Vlaams,vesturflæmska
vro,Võro,voróska
wae,Walser,vallíska
wln,Walloon,vallónska
xho,Xhosa,xhósa
ydd,Eastern Yiddish,austurjiddíska
yid,Yiddish,jiddíska
yih,Western Yiddish,vesturjiddíska
zgh,Standard Moroccan Tamazight,berbíska
zho,Chinese,kínverska
zlm,Malay (individual language),malajíska
zsm,Standard Malay,stöðluð malajíska
zul,Zulu,súlúska
